0;0.0
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.0
10;0.0
11;0.0
12;0.0
13;0.0
14;0.0
15;0.0
16;0.5
17;0.5
18;0.5
19;0.5
20;0.5
21;0.5
22;0.5
23;0.5
24;1.0
25;1.0
26;1.0
27;1.0
28;1.0
29;1.5
30;1.5
31;1.5
32;1.5
33;2.0
34;2.0
35;2.0
36;2.0
37;2.5
38;2.5
39;2.5
40;2.5
41;3.0
42;3.0
43;3.0
44;3.5
45;3.5
46;3.5
47;4.0
48;4.0
49;4.5
50;4.5
51;4.5
52;5.0
53;5.0
54;5.5
55;5.5
56;6.0
57;6.0
58;6.0
59;6.5
60;6.5
61;7.0
62;7.0
63;7.5
64;7.5
65;8.0
66;8.0
67;8.5
68;9.0
69;9.0
70;9.5
71;9.5
72;10.0
73;10.0
74;10.5
75;11.0
76;11.0
77;11.5
78;12.0
79;12.0
80;12.5
81;12.5
82;13.0
83;13.5
84;13.5
85;14.0
86;14.5
87;15.0
88;15.0
89;15.5
90;16.0
